"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BLOC1S11",2.07787143563547e-27,0.686894169238643,0.677,0.29,4.60456310136821e-23,"9","BLOC1S1"
"PPIH",2.09909935436249e-27,0.341471404208311,0.323,0.09,4.65160416926727e-23,"9","PPIH"
"TMED91",2.44863051325554e-27,0.355572218701635,0.491,0.171,5.42616521737429e-23,"9","TMED9"
"VDAC1",2.48912583431807e-27,0.329410280560501,0.505,0.176,5.51590284884884e-23,"9","VDAC1"
"SET2",2.53895728276774e-27,0.509138207805209,0.682,0.296,5.62632933861331e-23,"9","SET"
"BANF12",2.54915818075447e-27,0.412268226543135,0.5,0.174,5.64893452855191e-23,"9","BANF1"
"KDELR1",2.55463674351987e-27,0.315484951035109,0.341,0.098,5.66107502364004e-23,"9","KDELR1"
"POLD21",2.56253363450993e-27,0.336459850037159,0.314,0.086,5.678574534074e-23,"9","POLD2"
"RPL10A4",3.28812746057955e-27,0.678643593230887,0.968,0.896,7.28649045264428e-23,"9","RPL10A"
"ATP5L1",4.28247322877498e-27,0.705882722887781,0.955,0.754,9.48996067496535e-23,"9","ATP5L"
"EEF1E11",4.292022432238e-27,0.351427292837203,0.345,0.101,9.5111217098394e-23,"9","EEF1E1"
"MRPS341",5.38609714168495e-27,0.471776621891001,0.505,0.18,1.19355912659738e-22,"9","MRPS34"
"CHD4",6.00469115552386e-27,0.304406479641821,0.368,0.111,1.33063956006409e-22,"9","CHD4"
"SNRPB4",6.27293068800875e-27,0.668860491985807,0.691,0.321,1.39008144046274e-22,"9","SNRPB"
"PMVK",6.92596600372655e-27,0.389282791882113,0.318,0.09,1.5347940664258e-22,"9","PMVK"
"RPS2P55",7.81510187558261e-27,0.271421552251543,0.259,0.064,1.73182657562911e-22,"9","RPS2P55"
"HSD17B111",7.81779098012912e-27,0.535234764603777,0.623,0.257,1.73242248119661e-22,"9","HSD17B11"
"CAMTA1",8.03649347786852e-27,0.437769649335756,0.45,0.156,1.78088695469566e-22,"9","CAMTA1"
"MCL12",8.09598327073612e-27,0.453040701291669,0.718,0.319,1.79406989279512e-22,"9","MCL1"
"RPS7P103",9.71811782856212e-27,0.677111433270834,0.909,0.642,2.15353491080937e-22,"9","RPS7P10"
"MFSD10",9.76454128471891e-27,0.35872338699159,0.291,0.075,2.16382234869371e-22,"9","MFSD10"
"RPL7P231",1.26863322697371e-26,0.437195140015176,0.568,0.213,2.81129123097374e-22,"9","RPL7P23"
"HMGB31",1.31879063280363e-26,0.501849950818213,0.336,0.102,2.92244004229284e-22,"9","HMGB3"
"TMX1",1.55657872042637e-26,0.300981498135272,0.377,0.116,3.44937844446483e-22,"9","TMX1"
"RPL93",1.71471492080156e-26,0.651593720724327,0.995,0.923,3.79980826449625e-22,"9","RPL9"
"MT-CO14",1.87723141787809e-26,0.607401346313143,0.977,0.959,4.15994482201785e-22,"9","MT-CO1"
"AL122020.12",1.88384792274957e-26,0.458428135089566,0.573,0.215,4.17460699681305e-22,"9","AL122020.1"
"HSPA52",1.91683202161864e-26,0.576249488869406,0.709,0.319,4.2476997599069e-22,"9","HSPA5"
"MPST1",1.9310650040387e-26,0.372434024452282,0.332,0.097,4.27924004894977e-22,"9","MPST"
"C19orf70",2.1044605029542e-26,0.386506255028617,0.536,0.195,4.66348447454651e-22,"9","C19orf70"
"HDAC21",2.24377787570413e-26,0.448134746164507,0.409,0.136,4.97221177256036e-22,"9","HDAC2"
"RPS3AP51",2.25196904750689e-26,0.555614333596351,0.6,0.245,4.99036340927526e-22,"9","RPS3AP5"
"CD741",2.64517505226501e-26,1.05718698294207,0.818,0.529,5.86170791581927e-22,"9","CD74"
"ATIC",2.65013963693178e-26,0.421987705539523,0.255,0.063,5.87270943544083e-22,"9","ATIC"
"SPCS3",2.68615117666616e-26,0.542595998885649,0.468,0.166,5.9525110074922e-22,"9","SPCS3"
"HSPE13",2.75142026623359e-26,0.566713497227469,0.632,0.265,6.09714730997363e-22,"9","HSPE1"
"EIF1AX",2.82267927695183e-26,0.396859713087605,0.518,0.189,6.25505727772526e-22,"9","EIF1AX"
"HMGN2P51",3.03758429581441e-26,0.455887733510712,0.336,0.101,6.73128679952473e-22,"9","HMGN2P5"
"LAPTM4A1",3.31990853749374e-26,0.44559067159596,0.518,0.194,7.35691731908613e-22,"9","LAPTM4A"
"NDUFA21",3.32094351967749e-26,0.585955255091413,0.632,0.268,7.35921083960532e-22,"9","NDUFA2"
"RPL323",3.36831203432101e-26,0.598785896736852,1,0.981,7.46417946805536e-22,"9","RPL32"
"CCDC18",3.37934241968228e-26,0.29999804005409,0.25,0.061,7.48862280201593e-22,"9","CCDC18"
"MRPS25",3.72143175385843e-26,0.274391988693704,0.268,0.068,8.24669276655028e-22,"9","MRPS25"
"ACTR22",4.06843939217321e-26,0.531627091976828,0.605,0.238,9.01566169305583e-22,"9","ACTR2"
"MRPS35",4.35144456566819e-26,0.312612761895814,0.318,0.09,9.64280115752071e-22,"9","MRPS35"
"MRPL181",4.36849055995992e-26,0.335454046143931,0.368,0.114,9.68057508087119e-22,"9","MRPL18"
"MRPS2",4.83539386568564e-26,0.327239626124043,0.268,0.07,1.07152328063594e-21,"9","MRPS2"
"NDUFB31",5.02054658204156e-26,0.423679011724766,0.568,0.22,1.11255312258041e-21,"9","NDUFB3"
"TPM32",5.47788144350319e-26,0.59713944775514,0.755,0.361,1.21389852788031e-21,"9","TPM3"
"RPL7AP63",5.61111279119574e-26,0.79428596913799,0.845,0.612,1.24342259452898e-21,"9","RPL7AP6"
"TMEM147",5.88432806386467e-26,0.374900456063594,0.445,0.151,1.30396709895241e-21,"9","TMEM147"
"HMG20B",6.31337434217869e-26,0.25303851422117,0.291,0.078,1.3990437542268e-21,"9","HMG20B"
"CAMLG1",7.25928679332873e-26,0.351360629698984,0.523,0.187,1.60865795340165e-21,"9","CAMLG"
"AP2S12",7.7934571060187e-26,0.702240031435783,0.718,0.357,1.72703009469374e-21,"9","AP2S1"
"HLA-DMB1",8.00334267378615e-26,0.330304905405118,0.282,0.074,1.77354073651101e-21,"9","HLA-DMB"
"GRK2",8.01821646703834e-26,0.275828877487393,0.268,0.068,1.77683676909569e-21,"9","GRK2"
"RPL373",8.76535123947741e-26,0.656422880637429,0.995,0.885,1.94240183466819e-21,"9","RPL37"
"PSMD141",8.96748255761473e-26,0.296865938028671,0.327,0.096,1.98719413476742e-21,"9","PSMD14"
"ATP6V0B1",9.05542622047648e-26,0.579767054579295,0.668,0.304,2.00668245045759e-21,"9","ATP6V0B"
"AL080243.2",1.05934594157969e-25,0.307329874158509,0.332,0.097,2.3475106065406e-21,"9","AL080243.2"
"LMNB11",1.15785142252567e-25,0.332125680725873,0.277,0.074,2.56579875231688e-21,"9","LMNB1"
"MDH21",1.2121292698146e-25,0.394163305371768,0.532,0.199,2.68607846190916e-21,"9","MDH2"
"EEF1B2P62",1.23843974930449e-25,0.449460552902732,0.545,0.205,2.74438248445876e-21,"9","EEF1B2P6"
"SPG211",1.30502265454878e-25,0.358442286415298,0.405,0.132,2.89193020248011e-21,"9","SPG21"
"C4orf481",1.32057669966128e-25,0.40667854430714,0.464,0.16,2.92639796644941e-21,"9","C4orf48"
"SNHG83",1.41006764215447e-25,0.649242963446714,0.686,0.324,3.1247098950143e-21,"9","SNHG8"
"DMAC1",1.42368704393869e-25,0.261293251828137,0.35,0.105,3.15489048936814e-21,"9","DMAC1"
"FAAP20",1.43023112191674e-25,0.327583224365263,0.423,0.14,3.1693921661675e-21,"9","FAAP20"
"FOSB2",1.46498541373278e-25,0.737121853900553,0.836,0.472,3.24640767683183e-21,"9","FOSB"
"ERH1",1.50073878683504e-25,0.513033449202155,0.691,0.311,3.32563715162644e-21,"9","ERH"
"RPL153",1.54049404954088e-25,0.653749526596711,0.973,0.895,3.41373481378259e-21,"9","RPL15"
"TIMP11",1.85220182300611e-25,0.332794752985399,0.473,0.166,4.10447923978155e-21,"9","TIMP1"
"TMEM109",1.86396934237886e-25,0.277847744080402,0.277,0.074,4.13055606271156e-21,"9","TMEM109"
"HADHA1",2.12442333104394e-25,0.453745831814293,0.541,0.211,4.70772210159337e-21,"9","HADHA"
"PDIA32",2.37071895894512e-25,0.502410452757759,0.655,0.282,5.25351321302239e-21,"9","PDIA3"
"TUFM",2.4499765065449e-25,0.531536255518383,0.623,0.266,5.42914793850349e-21,"9","TUFM"
"PDZD8",2.48406746307309e-25,0.285790703808784,0.305,0.086,5.50469349816997e-21,"9","PDZD8"
"LAP3",2.80612980917193e-25,0.279058486981455,0.309,0.087,6.21838365712501e-21,"9","LAP3"
"EPB41L4A-AS11",2.90058742994475e-25,0.429360690946324,0.427,0.145,6.42770174475757e-21,"9","EPB41L4A-AS1"
"CREG1",3.16919312992882e-25,0.357053261569972,0.409,0.141,7.02293197592227e-21,"9","CREG1"
"SRPRB",3.1841412203712e-25,0.481296565367586,0.255,0.065,7.05605694434257e-21,"9","SRPRB"
"DBI3",3.23427033229222e-25,0.661264291722691,0.659,0.3,7.16714305635955e-21,"9","DBI"
"HNRNPA32",3.74481894130016e-25,0.566556122624723,0.691,0.308,8.29851877392115e-21,"9","HNRNPA3"
"SND1",4.51239787208088e-25,0.27115438062801,0.286,0.079,9.99947368453124e-21,"9","SND1"
"SMS",4.65294787822249e-25,0.312854357935987,0.418,0.138,1.0310932498141e-20,"9","SMS"
"SERBP13",4.7085170924641e-25,0.535079619119705,0.691,0.319,1.04340738769004e-20,"9","SERBP1"
"TXNDC12",5.55576577874933e-25,0.296056218800201,0.314,0.089,1.23115769657085e-20,"9","TXNDC12"
"NBDY",5.69107859390179e-25,0.259822059284032,0.418,0.136,1.26114301640864e-20,"9","NBDY"
"DCAF7",5.7820071209318e-25,0.313015589754477,0.291,0.081,1.28129277799849e-20,"9","DCAF7"
"NDUFB24",5.99627971731661e-25,0.559047210879709,0.727,0.347,1.32877558535736e-20,"9","NDUFB2"
"AC079140.22",6.60758317178924e-25,0.594340058631371,0.668,0.306,1.4642404308685e-20,"9","AC079140.2"
"ACADM1",6.63523429072235e-25,0.266568808710906,0.323,0.096,1.47036791882407e-20,"9","ACADM"
"C14orf166",7.21298518310396e-25,0.597762011955548,0.705,0.326,1.59839751657584e-20,"9","C14orf166"
"CMTM6",7.31852032394166e-25,0.302534625903146,0.3,0.083,1.62178410378547e-20,"9","CMTM6"
"TRAPPC2L",7.67720092562552e-25,0.359667581275105,0.418,0.143,1.70126772511862e-20,"9","TRAPPC2L"
"ATP5D2",8.20886359529205e-25,0.603602598849459,0.855,0.458,1.81908417271672e-20,"9","ATP5D"
"G3BP1",8.47097781700438e-25,0.310692837362696,0.341,0.103,1.87716868424817e-20,"9","G3BP1"
"CARD19",8.49709335338379e-25,0.260683405845873,0.268,0.069,1.88295588710985e-20,"9","CARD19"
"NAA20",8.7074770860395e-25,0.301355297133016,0.368,0.117,1.92957692226635e-20,"9","NAA20"
"PIGT",8.81816752478573e-25,0.315162012507717,0.268,0.071,1.95410592349252e-20,"9","PIGT"
"RPL23P8",9.05008652608622e-25,0.26374025117368,0.359,0.111,2.00549917418071e-20,"9","RPL23P8"
"ATP6AP1",9.14232705928631e-25,0.319928970490994,0.295,0.083,2.02593967633785e-20,"9","ATP6AP1"
"RPS193",9.93602452481307e-25,0.649955847456726,1,0.97,2.20182303469858e-20,"9","RPS19"
"TAF91",1.03492819956322e-24,0.281771934163669,0.432,0.147,2.29340089023209e-20,"9","TAF9"
"RPL35P51",1.04307249388424e-24,0.440311117688991,0.595,0.239,2.31144864644748e-20,"9","RPL35P5"
"RPA31",1.1310056483275e-24,0.439727226973107,0.477,0.174,2.50630851669374e-20,"9","RPA3"
"MT-CYB5",1.13694940125052e-24,0.59261549478296,0.977,0.89,2.51947987317116e-20,"9","MT-CYB"
"PNKD",1.19062160656303e-24,0.323163864874968,0.373,0.12,2.63841748014367e-20,"9","PNKD"
"CYC11",1.20902385255249e-24,0.36309579574078,0.482,0.175,2.67919685725631e-20,"9","CYC1"
"ABHD14B",1.30156488114697e-24,0.278541681392292,0.355,0.108,2.88426777662168e-20,"9","ABHD14B"
"FAM162A",1.33777137719812e-24,0.446524434903511,0.336,0.101,2.96450137187104e-20,"9","FAM162A"
"GDI21",1.58917642454746e-24,0.496819342906055,0.627,0.268,3.52161495679718e-20,"9","GDI2"
"AP1S21",1.72338409956483e-24,0.48846874956099,0.505,0.19,3.81901916463567e-20,"9","AP1S2"
"HADH1",2.16852449972066e-24,0.277878454390917,0.25,0.064,4.80545029138098e-20,"9","HADH"
"RPL7AP302",2.35834764924094e-24,0.754747538000092,0.795,0.515,5.22609839071791e-20,"9","RPL7AP30"
"GNL3",2.46165460229734e-24,0.316592433562368,0.295,0.084,5.45502659869091e-20,"9","GNL3"
"SUMO31",2.61238365169436e-24,0.386776147879198,0.536,0.206,5.7890421721547e-20,"9","SUMO3"
"AC020898.1",2.83953135124405e-24,0.340369710519568,0.405,0.136,6.29240147435682e-20,"9","AC020898.1"
"GMFG4",2.91356560729342e-24,0.61836744978708,0.855,0.48,6.45646138576221e-20,"9","GMFG"
"GAS52",2.96251463170238e-24,0.995200460788411,0.818,0.586,6.56493242385247e-20,"9","GAS5"
"RBBP71",3.1876060086349e-24,0.319195281331405,0.4,0.135,7.06373491513495e-20,"9","RBBP7"
"RASGRP2",3.19595370979392e-24,0.493090433633045,0.391,0.128,7.08223342090332e-20,"9","RASGRP2"
"NDUFB91",3.22331287231914e-24,0.644871747591255,0.718,0.345,7.14286132505922e-20,"9","NDUFB9"
"AC097523.11",3.26269664912607e-24,0.383651781708157,0.514,0.192,7.23013577446337e-20,"9","AC097523.1"
"CNIH1",3.30184764436267e-24,0.355238218222455,0.432,0.148,7.31689437990768e-20,"9","CNIH1"
"SDF2L11",3.61982271860419e-24,0.636619831803104,0.423,0.154,8.02152714442688e-20,"9","SDF2L1"
"ELAVL11",4.5269734600755e-24,0.337458080217949,0.332,0.102,1.00317731875273e-19,"9","ELAVL1"
"AC074033.12",4.60367442334359e-24,0.637251448802513,0.855,0.485,1.02017425221294e-19,"9","AC074033.1"
"SREK1",4.80205499934598e-24,0.283429990581619,0.355,0.111,1.06413538785507e-19,"9","SREK1"
"ATP1B31",4.84152587752796e-24,0.316904386429753,0.5,0.186,1.07288213446019e-19,"9","ATP1B3"
"RPS133",4.94486603082168e-24,0.580637334322004,0.991,0.923,1.09578231243008e-19,"9","RPS13"
"NDUFB61",4.95932310031992e-24,0.425150263821625,0.509,0.192,1.09898599903089e-19,"9","NDUFB6"
"RPL364",5.62461017990614e-24,0.649521798301194,0.991,0.894,1.2464136158672e-19,"9","RPL36"
"CTBP1",5.82526326196869e-24,0.260450598660077,0.273,0.074,1.29087833885226e-19,"9","CTBP1"
"BRK12",5.84868455843647e-24,0.555087595336027,0.714,0.353,1.29606849814952e-19,"9","BRK1"
"LGALS9",6.5532155658379e-24,0.263801931369519,0.395,0.132,1.45219256938968e-19,"9","LGALS9"
"TALDO13",6.69968875523571e-24,0.628820284569169,0.745,0.414,1.48465102816023e-19,"9","TALDO1"
"PHACTR4",7.00602150453826e-24,0.283998390575455,0.386,0.125,1.55253436540568e-19,"9","PHACTR4"
"CENPH1",7.16305714000278e-24,0.268499558614407,0.264,0.071,1.58733346222462e-19,"9","CENPH"
"RPN1",7.90480320744399e-24,0.360895927726109,0.355,0.115,1.75170439076959e-19,"9","RPN1"
"NUDCD2",9.03717489929331e-24,0.262204223427145,0.432,0.15,2.0026379576834e-19,"9","NUDCD2"
"HMGN21",1.0504255019157e-23,0.566580471190353,0.418,0.152,2.32774291224519e-19,"9","HMGN2"
"SKAP2",1.06991514817528e-23,0.253406697304065,0.291,0.083,2.37093196835641e-19,"9","SKAP2"
"SEC13",1.11382759409652e-23,0.347889140981071,0.282,0.081,2.46824194851788e-19,"9","SEC13"
"FO393411.13",1.28393155718628e-23,0.652667804504675,0.845,0.538,2.84519233072479e-19,"9","FO393411.1"
"TIPARP",1.42145445798431e-23,0.254810905838923,0.286,0.079,3.14994307889324e-19,"9","TIPARP"
"PGK12",1.5015629643249e-23,0.462707394502154,0.705,0.318,3.32746352894397e-19,"9","PGK1"
"COPS31",1.53471394471989e-23,0.355947664060616,0.436,0.156,3.40092610149928e-19,"9","COPS3"
"YWHAH1",1.5606198563202e-23,0.449704477765693,0.332,0.106,3.45833360160557e-19,"9","YWHAH"
"PRMT1",1.63723932153274e-23,0.343945758448746,0.405,0.139,3.62812233651654e-19,"9","PRMT1"
"LCP12",1.71393067503652e-23,0.472337589421234,0.595,0.249,3.79807037588093e-19,"9","LCP1"
"DECR11",1.78761800118268e-23,0.330904743826678,0.427,0.15,3.96136149062081e-19,"9","DECR1"
"GUSB1",1.95118215139215e-23,0.355213056442302,0.291,0.086,4.323819647485e-19,"9","GUSB"
"RPL243",2.11139838638303e-23,0.579344610121737,0.977,0.846,4.6788588242248e-19,"9","RPL24"
"RPS20P143",2.23327913807063e-23,0.632454216685665,0.927,0.634,4.94894656996452e-19,"9","RPS20P14"
"PRPF6",2.39926630823703e-23,0.306958138680931,0.309,0.091,5.31677413905326e-19,"9","PRPF6"
"SF3A3",2.69279451970785e-23,0.365317275369773,0.295,0.087,5.96723265567259e-19,"9","SF3A3"
"CBX31",2.74178936923224e-23,0.411884728378079,0.591,0.246,6.07580524221864e-19,"9","CBX3"
"DHX91",2.87869924530668e-23,0.471129588973267,0.382,0.13,6.3791975275996e-19,"9","DHX9"
"NUDT211",3.02192883516201e-23,0.333019453648145,0.35,0.113,6.69659429871901e-19,"9","NUDT21"
"RPS34",3.24175481787243e-23,0.623015004510155,0.986,0.95,7.1837286764053e-19,"9","RPS3"
"ZNF207",3.29292928838269e-23,0.265064585451887,0.527,0.202,7.29713130305605e-19,"9","ZNF207"
"GADD45GIP11",3.57848429178596e-23,0.490072222668944,0.595,0.25,7.92992119059768e-19,"9","GADD45GIP1"
"SEC31A",4.14996444706264e-23,0.292758462334509,0.286,0.082,9.1963212146908e-19,"9","SEC31A"
"AL121612.12",4.15377953495274e-23,0.464009054131807,0.659,0.293,9.20477544945528e-19,"9","AL121612.1"
"SSRP11",4.27199411187839e-23,0.397709248641864,0.355,0.114,9.46673895192251e-19,"9","SSRP1"
"MRPL21",4.43597394389053e-23,0.295255287484468,0.373,0.124,9.83011825966141e-19,"9","MRPL21"
"LSM61",4.44939318364013e-23,0.299142725603045,0.473,0.173,9.85985529494654e-19,"9","LSM6"
"LRRFIP11",5.31486793445498e-23,0.390013533923564,0.627,0.261,1.17777473427522e-18,"9","LRRFIP1"
"MDH1",5.47328171861256e-23,0.352637838101152,0.423,0.149,1.21287922884454e-18,"9","MDH1"
"Z74021.11",5.95101869486566e-23,0.535470125544841,0.577,0.245,1.31874574278223e-18,"9","Z74021.1"
"MRPS23",6.11575085935349e-23,0.272695456734708,0.273,0.076,1.35525039043273e-18,"9","MRPS23"
"RAD23B",6.13621668579515e-23,0.36904773589364,0.25,0.068,1.35978561757221e-18,"9","RAD23B"
"ALKBH71",6.169589994457e-23,0.383246577422808,0.527,0.204,1.36718114277167e-18,"9","ALKBH7"
"TXN21",6.45909216467236e-23,0.328603392858649,0.4,0.139,1.4313348236914e-18,"9","TXN2"
"MTATP6P15",6.80696760186103e-23,0.626913932230219,0.941,0.73,1.5084240205724e-18,"9","MTATP6P1"
"ALDOA2",7.06336737036747e-23,0.577036947166561,0.841,0.514,1.56524220927343e-18,"9","ALDOA"
"SEC11A2",7.52434308440795e-23,0.458021696461866,0.609,0.265,1.6673944275048e-18,"9","SEC11A"
"RBPJ",7.70881580434824e-23,0.279936397566326,0.318,0.097,1.70827358224357e-18,"9","RBPJ"
"RPL9P93",7.83932368490904e-23,0.627577236846277,0.986,0.784,1.73719412857584e-18,"9","RPL9P9"
"H3F3A2",8.62895829969601e-23,0.552535278995316,0.814,0.487,1.91217715921264e-18,"9","H3F3A"
"MSN2",8.7162835084914e-23,0.427692284368316,0.495,0.189,1.9315284254817e-18,"9","MSN"
"SNRPG2",9.30094431028284e-23,0.541362115665097,0.695,0.318,2.06108925915868e-18,"9","SNRPG"
"TOMM22",9.35361895193956e-23,0.313300662826239,0.627,0.258,2.07276195974981e-18,"9","TOMM22"
"FCGRT1",1.0131372452723e-22,0.402562280020853,0.45,0.169,2.24511213552342e-18,"9","FCGRT"
"PSMG11",1.07736966004997e-22,0.250113670473597,0.286,0.084,2.38745116667072e-18,"9","PSMG1"
"METTL26",1.0960389788986e-22,0.437909832464458,0.491,0.191,2.42882237723929e-18,"9","METTL26"
"AC093768.1",1.10733305029983e-22,0.368999522272338,0.377,0.128,2.45385003946442e-18,"9","AC093768.1"
"ELOC1",1.26280865384455e-22,0.460423132029292,0.559,0.229,2.79838397691952e-18,"9","ELOC"
"CCNG11",1.30507578582994e-22,0.342613189343329,0.468,0.176,2.89204794139914e-18,"9","CCNG1"
"TMED10",1.31032008391753e-22,0.432632204851461,0.514,0.206,2.90366930596124e-18,"9","TMED10"
"CCT4",1.5304875712819e-22,0.323114272318265,0.441,0.161,3.39156045796069e-18,"9","CCT4"
"CCT21",1.56588960107509e-22,0.392880158553047,0.527,0.208,3.47001135598241e-18,"9","CCT2"
"AC096919.13",1.58274929692387e-22,0.59960750128643,0.795,0.458,3.50737244198329e-18,"9","AC096919.1"
"RPL12P42",1.65592542356075e-22,0.602226266094979,0.691,0.324,3.66953073861063e-18,"9","RPL12P4"
"ATP5I1",1.71401963902887e-22,0.536597911779411,0.477,0.189,3.79826752008798e-18,"9","ATP5I"
"TMEM126A",1.83721075241438e-22,0.425928262494284,0.336,0.109,4.07125902735027e-18,"9","TMEM126A"
"RPS53",2.07805519266064e-22,0.591345383366713,0.977,0.894,4.60497030693598e-18,"9","RPS5"
"ETFB1",2.36433916186523e-22,0.35256953983458,0.468,0.174,5.23937558269335e-18,"9","ETFB"
"MTPN1",2.53370120072039e-22,0.40115797183417,0.464,0.178,5.61468186079638e-18,"9","MTPN"
"OCIAD1",2.63837400379475e-22,0.317933639103005,0.523,0.204,5.84663679240916e-18,"9","OCIAD1"
"FARSA",2.99295315688491e-22,0.340269796968884,0.255,0.071,6.63238419565695e-18,"9","FARSA"
"NDUFAF81",3.04823718338853e-22,0.318111919772711,0.482,0.181,6.75489359838898e-18,"9","NDUFAF8"
"STXBP21",3.15244487524437e-22,0.379842465433576,0.468,0.182,6.98581784354153e-18,"9","STXBP2"
"SRP91",3.88665896395278e-22,0.489732238273858,0.6,0.257,8.61283626411937e-18,"9","SRP9"
"RNVU1-191",3.94224265003465e-22,0.483615402113951,0.377,0.13,8.73600971247679e-18,"9","RNVU1-19"
"DYNLL13",4.06242076286906e-22,0.640522851456822,0.773,0.407,9.00232441051785e-18,"9","DYNLL1"
"WDR611",4.10681035958454e-22,0.250537633918611,0.323,0.102,9.10069175683933e-18,"9","WDR61"
"HADHB1",4.45453925064887e-22,0.392519608485975,0.391,0.139,9.8712589794379e-18,"9","HADHB"
"ANXA51",4.61341592389068e-22,0.593664154866776,0.414,0.152,1.02233296873417e-17,"9","ANXA5"
"HIKESHI1",4.75848402375546e-22,0.353586827168063,0.409,0.146,1.05448005966421e-17,"9","HIKESHI"
"MS4A6A1",4.81303304698354e-22,0.768217990068167,0.291,0.09,1.06656812321155e-17,"9","MS4A6A"
"RPL83",4.915138286769e-22,0.545280664501589,0.991,0.933,1.08919464434801e-17,"9","RPL8"
"HDGF1",5.24654126736626e-22,0.421345371267698,0.327,0.108,1.16263354484836e-17,"9","HDGF"
"ANAPC112",5.42776987596896e-22,0.596267081869317,0.582,0.254,1.20279380451472e-17,"9","ANAPC11"
"ATP5O1",5.51112081735483e-22,0.511854194487245,0.782,0.431,1.22126437312583e-17,"9","ATP5O"
"IGLL1",6.50640438729633e-22,0.555820896341045,0.259,0.076,1.44181921222487e-17,"9","IGLL1"
"CENPX1",6.93115185881197e-22,0.358371609701182,0.386,0.136,1.53594325191273e-17,"9","CENPX"
"PLGRKT",7.11391087240317e-22,0.337685157978795,0.282,0.084,1.57644264932454e-17,"9","PLGRKT"
"KDELR21",7.2741226414622e-22,0.406759553509909,0.464,0.179,1.61194557734802e-17,"9","KDELR2"
"TRAPPC6A",7.63544821163234e-22,0.274149535804923,0.405,0.14,1.69201532369773e-17,"9","TRAPPC6A"
"AC044787.11",7.67433308795283e-22,0.49546741135288,0.582,0.252,1.70063221229035e-17,"9","AC044787.1"
"TRAPPC13",8.07450050623273e-22,0.359603386761316,0.559,0.229,1.78930931218117e-17,"9","TRAPPC1"
"PSMB51",8.37699530558195e-22,0.34787620705429,0.318,0.101,1.85634215971696e-17,"9","PSMB5"
"NDUFAF31",8.87764748979289e-22,0.292664524337837,0.477,0.183,1.9672866837381e-17,"9","NDUFAF3"
"LAMP2",9.18491496512854e-22,0.280509499566224,0.277,0.082,2.03537715627248e-17,"9","LAMP2"
"CALR",9.38762984250225e-22,0.285489998623144,0.268,0.078,2.0802987730985e-17,"9","CALR"
"PTMAP5",9.59532982653544e-22,0.414748440682516,0.564,0.23,2.12632508956025e-17,"9","PTMAP5"
"SEPT61",1.1159355036022e-21,0.263107280190727,0.427,0.151,2.47291307598247e-17,"9","SEPT6"
"TSN",1.16956894491906e-21,0.274717723852706,0.359,0.119,2.59176478194064e-17,"9","TSN"
"ATP5J22",1.22722479534377e-21,0.585952974941779,0.782,0.412,2.7195301464818e-17,"9","ATP5J2"
"RPL63",1.23299360402445e-21,0.594268914707708,0.968,0.848,2.73231382651818e-17,"9","RPL6"
"SNORD3B-11",1.68667099090578e-21,0.409376661168993,0.259,0.073,3.7376629158472e-17,"9","SNORD3B-1"
"NDUFS52",1.76411963677101e-21,0.621522064505401,0.768,0.406,3.90928911508455e-17,"9","NDUFS5"
"EIF3FP33",1.79167705436406e-21,0.45416009640468,0.65,0.295,3.97035635247075e-17,"9","EIF3FP3"
"VPS292",1.83928045473054e-21,0.414878928034198,0.605,0.26,4.07584548768288e-17,"9","VPS29"
"PSMA51",1.94551649594711e-21,0.324180061881841,0.45,0.169,4.31126455501879e-17,"9","PSMA5"
"VAPA1",2.00043213627619e-21,0.404206215629618,0.605,0.266,4.43295761398804e-17,"9","VAPA"
"IFI27L21",2.19397698600638e-21,0.477416269685872,0.418,0.156,4.86185300099014e-17,"9","IFI27L2"
"MT-ND35",2.27294412470834e-21,0.577609398319598,0.977,0.822,5.03684418035368e-17,"9","MT-ND3"
"MAGOHB1",2.40876121673984e-21,0.321765075722445,0.277,0.084,5.33781485629547e-17,"9","MAGOHB"
"RPL293",2.41012702412865e-21,0.590493923413937,0.982,0.902,5.34084148546909e-17,"9","RPL29"
"ESF1",2.43422670652238e-21,0.27245399713587,0.318,0.1,5.39424638165359e-17,"9","ESF1"
"JUND2",2.80746562762226e-21,0.68853059562093,0.755,0.4,6.22134383081092e-17,"9","JUND"
"TPRKB1",2.92090047245209e-21,0.276357500711765,0.441,0.162,6.47271544695383e-17,"9","TPRKB"
"CHCHD5",2.93034455059807e-21,0.309742785755668,0.35,0.117,6.49364352412532e-17,"9","CHCHD5"
"RPL12P12",2.93434633844518e-21,0.312811246637191,0.345,0.114,6.50251148599452e-17,"9","RPL12P12"
"HNRNPR1",3.0544605328838e-21,0.263159104753761,0.505,0.197,6.7686845408705e-17,"9","HNRNPR"
"AC079250.12",3.58183766322427e-21,0.570946206719765,0.877,0.6,7.93735226170499e-17,"9","AC079250.1"
"ATP5B1",3.8947581102584e-21,0.591303417058021,0.677,0.372,8.6307839723326e-17,"9","ATP5B"
"RPL7AP66",3.90692308467905e-21,0.339885526534727,0.423,0.157,8.65774155564878e-17,"9","RPL7AP66"
"YBX12",4.16207847403672e-21,0.586576480747585,0.859,0.65,9.22316589846537e-17,"9","YBX1"
