"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DHRS7",3.69738396009558e-29,1.00542944891048,0.304,0.11,8.19340285557179e-25,"4","DHRS7"
"HLA-F1",6.86703843553731e-29,0.992360934200381,0.459,0.225,1.52173571731507e-24,"4","HLA-F"
"DHRS3",8.99926701922263e-29,1.11161164259841,0.267,0.088,1.99423757145974e-24,"4","DHRS3"
"TBC1D10C1",2.03783462040205e-28,0.956316828384333,0.393,0.176,4.51584151881094e-24,"4","TBC1D10C"
"SRSF21",1.08949469871889e-27,0.998723984031417,0.663,0.471,2.41432025236107e-23,"4","SRSF2"
"MT-CO21",1.79651871921496e-27,0.423723434293445,0.993,0.949,3.98108548178036e-23,"4","MT-CO2"
"PSME11",2.17811241224517e-27,1.02226392642904,0.67,0.509,4.8266971055353e-23,"4","PSME1"
"PTPN4",3.81178310945021e-27,0.949919062168849,0.277,0.098,8.44691137054168e-23,"4","PTPN4"
"PDIA3",4.66005292851784e-27,1.17311873452148,0.485,0.286,1.03266772895955e-22,"4","PDIA3"
"NEAT11",1.06621411551088e-26,0.507755020265899,0.726,0.487,2.36273047997211e-22,"4","NEAT1"
"PIP4K2A1",2.63807209762118e-26,1.24802167780616,0.561,0.377,5.84596776832853e-22,"4","PIP4K2A"
"GSTP11",2.52325307896941e-25,0.844758321197652,0.584,0.355,5.59152882299621e-21,"4","GSTP1"
"SEPT7",2.68010527411466e-25,1.01885901237656,0.521,0.323,5.93911328743808e-21,"4","SEPT7"
"ARL4C",3.43558055098048e-25,1.04293282539817,0.29,0.109,7.61324650097275e-21,"4","ARL4C"
"ARHGAP9",4.14129307431394e-25,1.01396033306607,0.281,0.106,9.17710545267969e-21,"4","ARHGAP9"
"CD99.1",4.62683470587757e-25,1.11868312449481,0.323,0.137,1.02530657082247e-20,"4","CD99.1"
"RAP1B",6.69373748944144e-25,1.09691789819122,0.363,0.171,1.48333222766022e-20,"4","RAP1B"
"NOL4L1",2.67697835327929e-24,1.0167549068924,0.442,0.231,5.9321840308669e-20,"4","NOL4L"
"SYTL1",4.97801815554714e-24,1.0710761560864,0.264,0.098,1.10312882326925e-19,"4","SYTL1"
"RNF213",9.99639591991994e-24,1.02634284027515,0.307,0.127,2.21520133585426e-19,"4","RNF213"
"RBM391",2.73875259938955e-23,0.862077692635837,0.663,0.514,6.06907576024724e-19,"4","RBM39"
"ACTG11",3.08492221915177e-23,0.694550443014066,0.809,0.64,6.83618763764032e-19,"4","ACTG1"
"CTSD1",4.86311368942192e-23,0.932677030943004,0.469,0.26,1.0776659935759e-18,"4","CTSD"
"DRAP1",7.14253065672706e-23,0.961082833829043,0.479,0.297,1.58278479353072e-18,"4","DRAP1"
"CD531",9.22745537041681e-23,1.01891907323424,0.439,0.24,2.04480411008437e-18,"4","CD53"
"SRP141",1.23651780224132e-22,0.71043033734251,0.762,0.638,2.74012344976676e-18,"4","SRP14"
"ARPC41",2.13665894058827e-22,0.954340381554955,0.528,0.341,4.7348362123436e-18,"4","ARPC4"
"MBP",4.6907223872176e-22,1.08894400288856,0.314,0.143,1.03946408100742e-17,"4","MBP"
"TCF25",6.48879666563755e-22,1.17120423293021,0.449,0.27,1.43791734110528e-17,"4","TCF25"
"CFLAR",6.73174589979496e-22,1.09665743325324,0.327,0.15,1.49175489139456e-17,"4","CFLAR"
"DUSP11",1.29257158431353e-21,0.858314826996739,0.825,0.756,2.86433863083877e-17,"4","DUSP1"
"GIMAP7",1.34477678123516e-21,0.900107294661222,0.251,0.094,2.98002534721711e-17,"4","GIMAP7"
"VASP1",2.00897849180343e-21,0.86821602419544,0.366,0.179,4.45189633783641e-17,"4","VASP"
"CDC421",2.87124190899594e-21,0.905347719851726,0.706,0.602,6.362672070335e-17,"4","CDC42"
"SYNE2",4.72863890484722e-21,0.905992388137994,0.254,0.098,1.04786638131414e-16,"4","SYNE2"
"NR4A21",6.08903066936234e-21,1.13860178228971,0.512,0.322,1.34932919633069e-16,"4","NR4A2"
"MT-ATP61",1.96625278405636e-20,0.4082704426874,0.987,0.872,4.35721616946889e-16,"4","MT-ATP6"
"CARD161",2.33645367423795e-20,0.913526482107052,0.366,0.182,5.17758134211129e-16,"4","CARD16"
"BTG21",2.35719787303767e-20,1.1148933829461,0.548,0.378,5.22355048665147e-16,"4","BTG2"
"MYL12B1",3.61771462447114e-20,0.923319568637273,0.624,0.503,8.01685560782806e-16,"4","MYL12B"
"EMP31",5.49254899021086e-20,0.706474389941673,0.647,0.459,1.21714885623073e-15,"4","EMP3"
"PSME2",5.83489686848775e-20,0.963235031308547,0.446,0.272,1.29301314605689e-15,"4","PSME2"
"EVL1",6.06006973717635e-20,0.904072627946977,0.31,0.143,1.34291145375828e-15,"4","EVL"
"PSMB8",9.13621498140431e-20,1.00191904753763,0.406,0.23,2.0245852398792e-15,"4","PSMB8"
"CD1641",1.0287788199142e-19,0.935662902949428,0.439,0.267,2.27977386492987e-15,"4","CD164"
"PNISR1",1.09707601801434e-19,0.847174189547692,0.525,0.355,2.43112045591978e-15,"4","PNISR"
"CELF22",1.43840462807867e-19,0.921191139143463,0.383,0.205,3.18750465582232e-15,"4","CELF2"
"POLR2G",1.83382429681854e-19,1.00894625552017,0.337,0.172,4.06375464174988e-15,"4","POLR2G"
"WIPF1",2.80028291928033e-19,0.876378439779743,0.317,0.15,6.20542694912522e-15,"4","WIPF1"
"S100A41",3.18019635605875e-19,0.264942771996669,0.891,0.739,7.04731512502619e-15,"4","S100A4"
"HMGN31",3.40939682218996e-19,0.901889140504883,0.439,0.264,7.55522335797295e-15,"4","HMGN3"
"FOS1",3.42158330177205e-19,0.694817148447617,0.898,0.839,7.58222859672687e-15,"4","FOS"
"EIF3G1",4.38871989200707e-19,0.965363076015976,0.515,0.361,9.72540328068768e-15,"4","EIF3G"
"POLR2L1",5.25340858185066e-19,0.730561205415643,0.587,0.432,1.16415534173811e-14,"4","POLR2L"
"CBLB",9.80104074251332e-19,0.887531504827392,0.254,0.103,2.17191062854095e-14,"4","CBLB"
"YWHAZ1",2.43705824285309e-18,0.90032811901627,0.548,0.395,5.40052106616245e-14,"4","YWHAZ"
"LCP11",3.56399066447132e-18,0.838811908703056,0.432,0.253,7.89780331246845e-14,"4","LCP1"
"BTN3A2",8.53980770873327e-18,0.84206783886041,0.254,0.108,1.89242138825529e-13,"4","BTN3A2"
"SCP2",1.29462283684706e-17,1.00961241373602,0.356,0.201,2.86888420645309e-13,"4","SCP2"
"HSPA5",1.66173993307201e-17,0.969075862330164,0.482,0.326,3.68241569168757e-13,"4","HSPA5"
"ALOX5AP1",2.21736709380476e-17,0.779463046676432,0.35,0.176,4.91368547987135e-13,"4","ALOX5AP"
"MT-ND51",2.91303484873727e-17,0.536792290562806,0.832,0.72,6.4552852248018e-13,"4","MT-ND5"
"ATM1",3.08965197216732e-17,0.867208832670387,0.3,0.146,6.84666877032279e-13,"4","ATM"
"PRMT2",6.87782984706884e-17,0.775540912661608,0.264,0.119,1.52412709411046e-12,"4","PRMT2"
"LIMD21",1.02343914504917e-16,0.825174562287633,0.512,0.349,2.26794114542896e-12,"4","LIMD2"
"XBP1",1.06625120501344e-16,0.917876592278071,0.34,0.181,2.36281267030977e-12,"4","XBP1"
"MYO1G",2.56392708393866e-16,0.748281346019383,0.277,0.129,5.68166241800806e-12,"4","MYO1G"
"TAPBP",2.65567135993227e-16,0.796053434760933,0.426,0.267,5.88496773360992e-12,"4","TAPBP"
"DSTN",4.19316596347173e-16,0.895108300935132,0.353,0.204,9.29205577505335e-12,"4","DSTN"
"IDI1",5.43568547266473e-16,0.911088802229294,0.3,0.153,1.2045479007425e-11,"4","IDI1"
"BIN11",6.10995764601313e-16,0.744945657023444,0.267,0.124,1.35396661435651e-11,"4","BIN1"
"IFRD11",6.21962745657478e-16,1.07782891760956,0.406,0.25,1.37826944437697e-11,"4","IFRD1"
"YWHAQ1",6.24912579786136e-16,0.893940183672295,0.409,0.262,1.38480627680608e-11,"4","YWHAQ"
"HSP90AA11",1.22978208464171e-15,0.622798273975816,0.7,0.576,2.72519709956603e-11,"4","HSP90AA1"
"TSPYL21",1.29329413116119e-15,0.886582282565074,0.304,0.151,2.8659397946532e-11,"4","TSPYL2"
"RABAC11",2.21305741836692e-15,0.871920028650811,0.403,0.251,4.9041352391011e-11,"4","RABAC1"
"APOBEC3C",2.44984008854157e-15,0.886487363656852,0.3,0.153,5.42884563620812e-11,"4","APOBEC3C"
"BRD2",3.88054146660302e-15,0.823670039450186,0.353,0.205,8.5992798899923e-11,"4","BRD2"
"SERTAD1",1.35031830861292e-14,0.796433390450005,0.254,0.121,2.99230537188624e-10,"4","SERTAD1"
